#Lunghezza (cm)	Peso (g)	Densita
1.731	0.276	8.030464986
1.728	0.281	8.190138772
1.724	0.277	8.092285308
1.679	0.274	8.219181017
1.742	0.278	8.037580283
1.681	0.274	8.209402098
1.737	0.28	8.118707436
1.724	0.279	8.150713361
1.712	0.274	8.060750541
1.661	0.266	8.065674338
1.705	0.274	8.093844532
1.722	0.28	8.189427884
1.707	0.274	8.08436141
1.706	0.275	8.118622455
1.739	0.281	8.138332258
1.696	0.275	8.166491691
1.729	0.279	8.127142761
1.756	0.282	8.088225956
1.723	0.282	8.243136842
1.657	0.267	8.115540167
1.717	0.278	8.154609699
1.706	0.276	8.148144719
1.731	0.28	8.146848536
1.685	0.274	8.189913903
1.73	0.278	8.093332285
1.724	0.276	8.063071282
1.713	0.278	8.173651403
1.726	0.279	8.141268734
1.698	0.275	8.156872738
1.714	0.275	8.080729235
1.746	0.284	8.19224212
1.689	0.273	8.140698606
1.712	0.28	8.237263327
1.663	0.266	8.055974188
1.736	0.28	8.123384111
1.699	0.275	8.152071753
1.729	0.275	8.010624586
1.695	0.272	8.08216812
1.723	0.278	8.126212915
1.729	0.281	8.185401849
1.722	0.281	8.218675841
1.732	0.279	8.113065724
1.7	0.277	8.206529336
1.697	0.275	8.16167938
1.703	0.278	8.221647007
1.743	0.278	8.032968935
1.729	0.28	8.156272305
1.694	0.272	8.086939176
1.709	0.276	8.133841363
1.701	0.277	8.201704804
1.703	0.276	8.162498467
1.703	0.281	8.310369816
1.716	0.276	8.100661358
1.695	0.276	8.201023534
1.695	0.277	8.230737387
1.703	0.275	8.132924198
1.697	0.272	8.072642878
1.697	0.274	8.132000546
1.696	0.274	8.136795358
1.747	0.28	8.072235155
1.739	0.277	8.022484112
1.693	0.272	8.091715868
1.705	0.274	8.093844532
1.708	0.277	8.16809126
1.698	0.274	8.127211382
1.74	0.28	8.104709664
1.711	0.276	8.124333659
1.721	0.277	8.106391558
1.649	0.264	8.063283876
1.707	0.277	8.172876316
