VariableCode,RegionCode,YearCode,AggValue
pop,ATG,2011,0.08815200000000000
cgdpe,ATG,2011,1742.48071289063000000
pop,ALB,2011,2.88601000000000000
cgdpe,ALB,2011,26542.07226562500000000
pop,ARM,2011,2.96798400000000000
cgdpe,ARM,2011,23376.14062500000000000
pop,AGO,2011,21.94229600000000000
cgdpe,AGO,2011,165170.81250000000000000
pop,ARG,2011,41.65561600000000000
cgdpe,ARG,2011,842470.68750000000000000
pop,AUT,2011,8.42355900000000000
cgdpe,AUT,2011,373419.56250000000000000
pop,AUS,2011,22.54237100000000000
cgdpe,AUS,2011,985459.75000000000000000
pop,AZE,2011,9.22751200000000000
cgdpe,AZE,2011,155512.79687500000000000
pop,BIH,2011,3.83231000000000000
cgdpe,BIH,2011,34659.47656250000000000
pop,BRB,2011,0.28060200000000000
cgdpe,BRB,2011,4406.44775390625000000
pop,BGD,2011,153.40561200000000000
cgdpe,BGD,2011,395446.56250000000000000
pop,BEL,2011,11.00517500000000000
cgdpe,BEL,2011,459961.87500000000000000
pop,BFA,2011,16.10685100000000000
cgdpe,BFA,2011,22319.99414062500000000
pop,BGR,2011,7.35523100000000000
cgdpe,BGR,2011,116328.30468750000000000
pop,BHR,2011,1.30601400000000000
cgdpe,BHR,2011,54221.76953125000000000
pop,BDI,2011,9.79015100000000000
cgdpe,BDI,2011,6276.20605468750000000
pop,BEN,2011,9.77939100000000000
cgdpe,BEN,2011,16743.62500000000000000
pop,BMU,2011,0.06357800000000000
cgdpe,BMU,2011,3899.75952148438000000
pop,BRN,2011,0.39944300000000000
cgdpe,BRN,2011,31208.83593750000000000
pop,BOL,2011,10.07823800000000000
cgdpe,BOL,2011,56194.98828125000000000
pop,BRA,2011,200.51758000000000000
cgdpe,BRA,2011,2982536.25000000000000000
pop,BHS,2011,0.36671100000000000
cgdpe,BHS,2011,8704.84960937500000000
pop,BTN,2011,0.73224600000000000
cgdpe,BTN,2011,4877.34912109375000000
pop,BWA,2011,2.08970600000000000
cgdpe,BWA,2011,29128.11718750000000000
pop,BLR,2011,9.48767400000000000
cgdpe,BLR,2011,170190.75000000000000000
pop,BLZ,2011,0.32919300000000000
cgdpe,BLZ,2011,2545.69873046875000000
pop,CAN,2011,34.49990500000000000
cgdpe,CAN,2011,1423920.37500000000000000
pop,COD,2011,68.08737600000000000
cgdpe,COD,2011,47069.91015625000000000
pop,CAF,2011,4.53090300000000000
cgdpe,CAF,2011,4104.78125000000000000
pop,COG,2011,4.17743500000000000
cgdpe,COG,2011,22304.79882812500000000
pop,CHE,2011,7.92581300000000000
cgdpe,CHE,2011,436559.93750000000000000
pop,CIV,2011,20.60417200000000000
cgdpe,CIV,2011,53890.02343750000000000
pop,CHL,2011,17.20130500000000000
cgdpe,CHL,2011,352983.21875000000000000
pop,CMR,2011,21.11906500000000000
cgdpe,CMR,2011,52200.23046875000000000
pop,CHN,2011,1348.17447800000000000
cgdpe,CHN,2011,13758196.00000000000000000
pop,COL,2011,46.40644600000000000
cgdpe,COL,2011,537505.50000000000000000
pop,CRI,2011,4.60048700000000000
cgdpe,CRI,2011,59614.35937500000000000
pop,CPV,2011,0.49515900000000000
cgdpe,CPV,2011,3036.92382812500000000
pop,CYP,2011,0.85088100000000000
cgdpe,CYP,2011,28102.38867187500000000
pop,CZE,2011,10.53398500000000000
cgdpe,CZE,2011,305234.28125000000000000
pop,DEU,2011,80.42466500000000000
cgdpe,DEU,2011,3443416.50000000000000000
pop,DJI,2011,0.84180200000000000
cgdpe,DJI,2011,2184.26196289063000000
pop,DNK,2011,5.57657700000000000
cgdpe,DNK,2011,238382.68750000000000000
pop,DMA,2011,0.07140200000000000
cgdpe,DMA,2011,733.60540771484400000
pop,DOM,2011,10.02714000000000000
cgdpe,DOM,2011,113199.60156250000000000
pop,ECU,2011,15.17728000000000000
cgdpe,ECU,2011,149289.39062500000000000
pop,EST,2011,1.32806800000000000
cgdpe,EST,2011,32575.83007812500000000
pop,EGY,2011,83.78763400000000000
