#Creator: pendulumdriveEventBuffer
#Creation time: Wed Nov 20 12:05:42 2013
#Time	Pos
#[s]	[au]
0.050	497
0.100	452
0.150	406
0.201	363
0.251	322
0.301	286
0.351	257
0.401	239
0.451	230
0.502	230
0.552	239
0.602	261
0.652	291
0.702	328
0.753	371
0.803	416
0.854	465
0.904	509
0.954	550
1.004	587
1.055	617
1.105	639
1.155	649
1.205	651
1.255	644
1.306	622
1.356	593
1.406	556
1.456	516
1.506	470
1.556	423
1.607	378
1.657	336
1.707	299
1.757	269
1.807	248
1.857	237
1.908	234
1.958	240
2.008	258
2.058	285
2.109	318
2.160	357
2.210	400
2.260	445
2.310	490
2.360	532
2.410	571
2.461	603
2.511	628
2.561	643
2.611	649
2.661	641
2.711	622
2.762	596
2.812	564
2.862	526
2.912	485
2.962	441
3.013	398
3.063	355
3.113	318
3.163	285
3.213	261
3.263	245
3.314	239
3.365	244
3.415	259
3.465	282
3.515	313
3.565	348
3.616	387
3.666	429
3.716	472
3.766	514
3.816	552
3.867	586
3.917	612
3.967	632
4.017	641
4.067	636
4.117	620
4.168	597
4.218	568
4.268	533
4.318	495
4.368	454
4.418	412
4.469	372
4.519	334
4.569	301
4.620	275
4.670	258
4.721	250
4.771	251
4.821	262
4.871	283
4.921	310
4.971	342
5.022	379
5.072	419
5.122	459
5.172	500
5.222	537
5.272	570
5.323	597
5.373	617
5.423	630
5.473	631
5.523	617
5.574	596
5.624	569
5.674	538
5.724	501
5.774	463
5.824	424
5.876	384
5.926	348
5.976	315
6.026	288
6.076	270
6.126	258
6.177	257
6.227	265
6.277	283
6.327	308
6.377	337
6.428	373
6.478	410
6.528	448
6.578	487
6.628	523
6.678	556
6.729	584
6.779	604
6.829	619
6.879	624
6.929	617
6.979	597
7.030	573
7.080	544
7.131	510
7.181	472
7.231	434
7.282	397
7.332	361
7.382	328
7.432	301
7.482	280
7.532	268
7.583	262
7.633	267
7.683	281
7.733	303
7.783	330
7.834	363
7.884	399
7.934	437
7.984	474
8.034	510
8.084	543
8.135	571
8.185	593
8.235	607
8.285	615
8.335	613
8.386	599
8.437	577
8.487	551
8.537	520
8.587	484
8.637	446
8.688	410
8.738	374
8.788	342
8.838	313
8.888	292
8.938	277
8.989	270
9.039	271
9.089	282
9.139	300
9.189	324
9.239	353
9.290	387
9.340	423
9.390	459
9.440	495
9.490	528
9.541	556
9.591	580
9.642	596
9.692	605
9.742	607
9.792	598
9.843	580
9.893	557
9.943	529
9.993	496
10.043	462
10.093	426
10.144	391
10.194	358
10.244	329
10.294	306
10.344	289
10.395	279
10.445	278
10.495	284
10.545	299
10.595	319
10.645	345
10.696	375
10.746	409
10.796	443
10.847	478
10.897	510
10.947	539
10.998	564
11.048	582
11.098	593
11.148	598
11.198	593
11.249	580
11.299	560
11.349	535
11.399	506
11.449	474
11.499	440
11.550	407
11.600	376
11.650	346
11.700	323
11.750	304
11.800	292
11.851	287
11.901	291
11.951	301
12.001	319
12.051	341
12.103	368
12.153	398
12.203	430
12.253	462
12.303	494
12.353	522
12.404	547
12.454	566
12.504	579
12.554	586
12.604	585
12.654	575
12.705	559
12.755	538
12.805	512
12.855	482
12.905	452
12.956	421
13.006	391
13.056	363
13.106	339
13.156	320
13.206	306
13.257	298
13.307	299
13.358	307
13.408	321
13.458	340
13.509	364
13.559	391
13.609	420
13.659	450
13.709	479
13.759	506
13.810	530
13.860	550
13.910	564
13.960	573
14.010	574
14.060	569
14.111	556
14.161	538
14.211	514
14.261	488
14.311	460
14.362	431
14.412	403
14.462	377
14.512	353
14.562	335
14.613	320
14.664	311
14.714	309
14.764	313
14.814	325
14.864	341
14.914	362
14.965	387
15.015	414
15.065	441
15.115	469
15.165	494
15.216	517
15.266	535
15.316	550
15.366	559
15.416	564
15.466	560
15.517	551
15.567	536
15.617	516
15.667	492
15.717	466
15.767	439
15.818	413
15.869	387
15.919	366
15.969	347
16.019	334
16.070	324
16.120	320
16.170	322
16.220	330
16.270	344
16.320	362
16.371	384
16.421	409
16.471	434
16.521	460
16.571	484
16.621	506
16.672	524
16.722	538
16.772	547
16.822	552
16.872	551
16.923	544
16.973	531
17.023	515
17.073	494
17.124	470
17.174	446
17.225	421
17.275	397
17.325	375
17.375	358
17.425	344
17.475	335
17.526	330
17.576	331
17.626	337
17.676	348
17.726	364
17.777	383
17.827	405
17.877	429
17.927	453
17.977	476
18.027	497
18.078	515
18.128	528
18.178	538
18.228	542
18.278	542
18.328	537
18.380	527
18.430	512
18.480	494
18.530	473
18.580	450
18.631	427
18.681	405
18.731	384
18.781	366
18.831	353
18.881	343
18.932	339
18.982	339
19.032	344
19.082	353
19.132	367
19.182	383
19.233	404
19.283	425
19.333	447
19.383	469
19.433	490
19.484	506
19.534	521
19.584	530
19.635	535
19.685	535
19.735	531
19.786	521
19.836	509
19.886	493
19.936	474
19.986	453
20.037	432
20.087	410
20.137	391
20.187	374
20.237	360
20.287	351
20.338	345
20.388	345
20.438	349
20.488	357
20.538	370
20.588	385
20.639	403
20.689	423
20.739	443
20.789	464
20.839	483
20.891	500
20.941	513
20.991	524
21.041	529
21.091	530
21.141	526
21.192	518
21.242	506
21.292	492
21.342	474
21.392	454
21.442	434
21.493	415
21.543	396
21.593	380
21.643	366
21.693	356
21.744	351
21.794	349
21.844	352
21.894	360
21.944	371
21.994	386
22.045	403
22.095	422
22.146	441
22.196	460
22.246	479
22.296	495
22.347	508
22.397	518
22.447	524
22.497	526
22.547	523
22.598	516
22.648	506
22.698	491
22.748	475
22.798	456
22.848	437
22.899	418
22.949	400
22.999	384
23.049	371
23.099	360
23.149	355
23.200	352
23.250	355
23.300	361
23.351	372
23.401	385
23.452	402
23.502	420
23.552	439
23.602	457
23.652	476
23.702	491
23.753	504
23.803	514
23.853	521
23.903	523
23.953	521
24.003	515
24.054	505
24.104	492
24.154	476
24.204	458
24.254	440
24.305	421
24.355	403
24.405	387
24.455	374
24.505	364
24.555	358
24.607	355
24.657	357
24.707	362
24.757	371
24.807	385
24.858	400
24.908	417
24.958	435
25.008	454
25.058	471
25.108	488
25.159	501
25.209	511
25.259	518
25.309	521
25.359	520
