Tipologia di rifiuto differenziato,Anno,Territorio,Tipo dato,0,Flags
"totale","2000","Italia","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",80.16796,
"totale","2001","Italia","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",92.31169,
"totale","2002","Italia","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",99.41605,
"totale","2003","Italia","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",109.8065,
"totale","2004","Italia","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",125.26206,
"totale","2005","Italia","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",135.69578,
"totale","2006","Italia","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",147.31658,
"totale","2007","Italia","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",159.12291,
"totale","2008","Italia","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",175.17086,
"totale","2009","Italia","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",184.07392,
"totale","2010","Italia","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",192.9365,
"totale","2011","Italia","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",197.48914,
"totale","2012","Italia","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",197.95822,
"totale","2000","Italia","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",14.15478,
"totale","2001","Italia","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",15.86555,
"totale","2002","Italia","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",16.73655,
"totale","2003","Italia","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",18.3991,
"totale","2004","Italia","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",20.37179,
"totale","2005","Italia","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",21.97157,
"totale","2006","Italia","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",23.63856,
"totale","2007","Italia","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",25.59765,
"totale","2008","Italia","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",28.51382,
"totale","2009","Italia","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",30.44073,
"totale","2010","Italia","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",31.63707,
"totale","2011","Italia","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",33.44349,
"totale","2012","Italia","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",34.89348,
"totale","2000","Italia","popolazione servita dalla raccolta differenziata - percentuale",,g
"totale","2001","Italia","popolazione servita dalla raccolta differenziata - percentuale",,g
"totale","2002","Italia","popolazione servita dalla raccolta differenziata - percentuale",,g
"totale","2003","Italia","popolazione servita dalla raccolta differenziata - percentuale",,g
"totale","2004","Italia","popolazione servita dalla raccolta differenziata - percentuale",,g
"totale","2005","Italia","popolazione servita dalla raccolta differenziata - percentuale",,g
"totale","2006","Italia","popolazione servita dalla raccolta differenziata - percentuale",,g
"totale","2007","Italia","popolazione servita dalla raccolta differenziata - percentuale",,g
"totale","2008","Italia","popolazione servita dalla raccolta differenziata - percentuale",98.84575,
"totale","2009","Italia","popolazione servita dalla raccolta differenziata - percentuale",98.86348,
"totale","2010","Italia","popolazione servita dalla raccolta differenziata - percentuale",98.77646,
"totale","2011","Italia","popolazione servita dalla raccolta differenziata - percentuale",98.8413,
"totale","2000","Torino","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",109.57859,
